index,lr,weight_decay,epochs,threshold,device,verbose,early_stopping,early_stopping_thresold,criterion,hidden_layer_K,hidden_layer_L,reproducible,accuracy,f1-score
185,0.0001,0.001,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.875,0.8333333333333333,
186,0.0001,0.001,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.875,0.8333333333333333,
187,0.0001,0.001,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.8125,0.7916666666666666,
188,0.0001,0.001,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.6875,0.6583333333333333,
189,0.0001,0.001,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.8125,0.7833333333333333,
190,0.0001,0.001,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.875,0.8333333333333333,
191,0.0001,0.001,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.875,0.8333333333333333,
192,0.0001,0.001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.875,0.8333333333333333,
193,0.0001,0.001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.8125,0.7499999999999999,
194,0.0001,0.001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.8125,0.7499999999999999,
195,0.0001,0.001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.8125,0.7833333333333333,
196,0.0001,0.001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.875,0.8333333333333333,
197,0.0001,0.001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.875,0.8333333333333333,
198,0.0001,0.001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.875,0.8666666666666666,
199,0.0001,0.001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.875,0.8333333333333333,
200,0.0001,0.001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.8125,0.7499999999999999,
201,0.0001,0.001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.875,0.8333333333333333,
202,0.0001,0.001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.875,0.8333333333333333,
203,0.0001,0.001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.875,0.8333333333333333,
204,0.0001,0.001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.9375,0.9166666666666666,
205,0.0001,0.001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.875,0.8333333333333333,
206,0.0001,0.001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.8125,0.7499999999999999,
207,0.0001,0.001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.875,0.8333333333333333,
208,0.0001,0.001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.875,0.8333333333333333,
209,0.0001,0.001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.875,0.8333333333333333,
210,0.0001,0.001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.9375,0.9166666666666666,
211,0.0001,0.001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.875,0.8333333333333333,
212,0.0001,0.001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.8125,0.7499999999999999,
213,0.0001,0.001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.875,0.8333333333333333,
214,0.0001,0.001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.875,0.8333333333333333,
215,0.0001,0.001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.875,0.8333333333333333,
216,0.001,1e-05,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.875,0.8333333333333333,
217,0.001,1e-05,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.8125,0.7833333333333333,
218,0.001,1e-05,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.875,0.8333333333333333,
219,0.001,1e-05,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.75,0.7333333333333333,
220,0.001,1e-05,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.8125,0.7916666666666666,
