index,lr,weight_decay,epochs,threshold,device,verbose,early_stopping,early_stopping_thresold,criterion,hidden_layer_K,hidden_layer_L,reproducible,mse,mae,rmse,r2,
69,1e-05,0.001,1500,None,cpu,False,False,0.5,MSELoss(),32,2,True,14.623934984207153,3.2354370951652527,3.813248634338379,-13.268208265304565,
70,1e-05,0.001,1500,None,cpu,False,False,0.5,MSELoss(),64,1,True,9.483585834503174,2.5581570267677307,3.0448588728904724,-21.601659774780273,
71,1e-05,0.001,1500,None,cpu,False,False,0.5,MSELoss(),64,2,True,16.919455528259277,3.452286183834076,4.044647812843323,-62.439217269420624,
72,0.0001,1e-05,500,None,cpu,False,True,0.5,MSELoss(),16,1,True,23.548693478107452,3.7064760625362396,4.366879910230637,-9.523918867111206,
73,0.0001,1e-05,500,None,cpu,False,True,0.5,MSELoss(),16,2,True,14.037157654762268,3.3429474234580994,3.6601427793502808,-19.125688016414642,
74,0.0001,1e-05,500,None,cpu,False,True,0.5,MSELoss(),32,1,True,20.588197708129883,3.126086115837097,4.121422976255417,-11.283785998821259,
75,0.0001,1e-05,500,None,cpu,False,True,0.5,MSELoss(),32,2,True,15.658872842788696,3.517438530921936,3.9036604166030884,-25.632172644138336,
76,0.0001,1e-05,500,None,cpu,False,True,0.5,MSELoss(),64,1,True,10.034252405166626,2.7707565426826477,3.0824037194252014,-12.32632264494896,
77,0.0001,1e-05,500,None,cpu,False,True,0.5,MSELoss(),64,2,True,16.100678205490112,3.516661763191223,3.922033727169037,-23.956531405448914,
78,0.0001,1e-05,500,None,cpu,False,False,0.5,MSELoss(),16,1,True,25.504003763198853,3.93186616897583,4.720401465892792,-24.53464275598526,
79,0.0001,1e-05,500,None,cpu,False,False,0.5,MSELoss(),16,2,True,15.348752975463867,3.4277928471565247,3.870100259780884,-21.115623593330383,
80,0.0001,1e-05,500,None,cpu,False,False,0.5,MSELoss(),32,1,True,21.600003004074097,3.2421894669532776,4.330810368061066,-5.354619085788727,
81,0.0001,1e-05,500,None,cpu,False,False,0.5,MSELoss(),32,2,True,14.013036489486694,3.2284774780273438,3.7300387024879456,-25.731041431427002,
82,0.0001,1e-05,500,None,cpu,False,False,0.5,MSELoss(),64,1,True,10.682365775108337,2.777792751789093,3.2316113710403442,-4.12205958366394,
83,0.0001,1e-05,500,None,cpu,False,False,0.5,MSELoss(),64,2,True,17.555273294448853,3.5903618931770325,4.117881000041962,-135.2729525566101,
84,0.0001,1e-05,1500,None,cpu,False,True,0.5,MSELoss(),16,1,True,23.548693478107452,3.7064760625362396,4.366879910230637,-9.523918867111206,
85,0.0001,1e-05,1500,None,cpu,False,True,0.5,MSELoss(),16,2,True,14.037157654762268,3.3429474234580994,3.6601427793502808,-19.125688016414642,
86,0.0001,1e-05,1500,None,cpu,False,True,0.5,MSELoss(),32,1,True,20.588197708129883,3.126086115837097,4.121422976255417,-11.283785998821259,
87,0.0001,1e-05,1500,None,cpu,False,True,0.5,MSELoss(),32,2,True,15.658872842788696,3.517438530921936,3.9036604166030884,-25.632172644138336,
88,0.0001,1e-05,1500,None,cpu,False,True,0.5,MSELoss(),64,1,True,10.034252405166626,2.7707565426826477,3.0824037194252014,-12.32632264494896,
89,0.0001,1e-05,1500,None,cpu,False,True,0.5,MSELoss(),64,2,True,16.100678205490112,3.516661763191223,3.922033727169037,-23.956531405448914,
90,0.0001,1e-05,1500,None,cpu,False,False,0.5,MSELoss(),16,1,True,25.12016725540161,3.910899519920349,4.695443212985992,-24.566721320152283,
91,0.0001,1e-05,1500,None,cpu,False,False,0.5,MSELoss(),16,2,True,15.545516729354858,3.4419630765914917,3.902510404586792,-21.59939271211624,
92,0.0001,1e-05,1500,None,cpu,False,False,0.5,MSELoss(),32,1,True,21.59522557258606,3.2296063601970673,4.331076681613922,-5.353526949882507,
93,0.0001,1e-05,1500,None,cpu,False,False,0.5,MSELoss(),32,2,True,14.095633506774902,3.2376087307929993,3.7409520745277405,-26.515407919883728,
94,0.0001,1e-05,1500,None,cpu,False,False,0.5,MSELoss(),64,1,True,10.957166314125061,2.8109487891197205,3.2778780460357666,-3.975314497947693,
95,0.0001,1e-05,1500,None,cpu,False,False,0.5,MSELoss(),64,2,True,17.59718632698059,3.594347357749939,4.122098088264465,-151.56847321987152,
96,0.0001,0.0001,500,None,cpu,False,True,0.5,MSELoss(),16,1,True,23.53376394510269,3.7037875950336456,4.36571928858757,-9.571083724498749,
97,0.0001,0.0001,500,None,cpu,False,True,0.5,MSELoss(),16,2,True,14.100837111473083,3.347195565700531,3.6681002378463745,-19.459269642829895,
98,0.0001,0.0001,500,None,cpu,False,True,0.5,MSELoss(),32,1,True,20.60196030139923,3.1281077563762665,4.122534662485123,-11.29308134317398,
99,0.0001,0.0001,500,None,cpu,False,True,0.5,MSELoss(),32,2,True,15.65945053100586,3.5178917050361633,3.903737723827362,-25.623077392578125,
100,0.0001,0.0001,500,None,cpu,False,True,0.5,MSELoss(),64,1,True,9.988061904907227,2.7656610906124115,3.0744218826293945,-12.38290211558342,
101,0.0001,0.0001,500,None,cpu,False,True,0.5,MSELoss(),64,2,True,15.981463432312012,3.5044994950294495,3.9108888506889343,-23.96337926387787,
102,0.0001,0.0001,500,None,cpu,False,False,0.5,MSELoss(),16,1,True,25.499996185302734,3.9317851066589355,4.7212119698524475,-24.67704725265503,
103,0.0001,0.0001,500,None,cpu,False,False,0.5,MSELoss(),16,2,True,15.414368152618408,3.426274538040161,3.878625810146332,-22.357466757297516,
104,0.0001,0.0001,500,None,cpu,False,False,0.5,MSELoss(),32,1,True,21.36888897418976,3.2309373915195465,4.307832956314087,-5.336561739444733,
105,0.0001,0.0001,500,None,cpu,False,False,0.5,MSELoss(),32,2,True,14.032217025756836,3.231564998626709,3.7325819730758667,-26.257925510406494,
106,0.0001,0.0001,500,None,cpu,False,False,0.5,MSELoss(),64,1,True,10.632415890693665,2.769031584262848,3.225721776485443,-4.146416664123535,
107,0.0001,0.0001,500,None,cpu,False,False,0.5,MSELoss(),64,2,True,17.279885053634644,3.5638582706451416,4.090429425239563,-158.19600355625153,
108,0.0001,0.0001,1500,None,cpu,False,True,0.5,MSELoss(),16,1,True,23.53376394510269,3.7037875950336456,4.36571928858757,-9.571083724498749,
109,0.0001,0.0001,1500,None,cpu,False,True,0.5,MSELoss(),16,2,True,14.100837111473083,3.347195565700531,3.6681002378463745,-19.459269642829895,
110,0.0001,0.0001,1500,None,cpu,False,True,0.5,MSELoss(),32,1,True,20.60196030139923,3.1281077563762665,4.122534662485123,-11.29308134317398,
111,0.0001,0.0001,1500,None,cpu,False,True,0.5,MSELoss(),32,2,True,15.65945053100586,3.5178917050361633,3.903737723827362,-25.623077392578125,
112,0.0001,0.0001,1500,None,cpu,False,True,0.5,MSELoss(),64,1,True,9.988061904907227,2.7656610906124115,3.0744218826293945,-12.38290211558342,
113,0.0001,0.0001,1500,None,cpu,False,True,0.5,MSELoss(),64,2,True,15.981463432312012,3.5044994950294495,3.9108888506889343,-23.96337926387787,
114,0.0001,0.0001,1500,None,cpu,False,False,0.5,MSELoss(),16,1,True,25.095722675323486,3.9102214574813843,4.695352077484131,-24.71214771270752,
115,0.0001,0.0001,1500,None,cpu,False,False,0.5,MSELoss(),16,2,True,15.678371906280518,3.4452162384986877,3.9187851548194885,-23.670925080776215,
116,0.0001,0.0001,1500,None,cpu,False,False,0.5,MSELoss(),32,1,True,21.6167334318161,3.262276738882065,4.327187538146973,-5.406710267066956,
117,0.0001,0.0001,1500,None,cpu,False,False,0.5,MSELoss(),32,2,True,14.120866298675537,3.2398500442504883,3.7436914443969727,-26.560836374759674,
118,0.0001,0.0001,1500,None,cpu,False,False,0.5,MSELoss(),64,1,True,10.861075043678284,2.7941949367523193,3.2646055817604065,-4.0136759877204895,
119,0.0001,0.0001,1500,None,cpu,False,False,0.5,MSELoss(),64,2,True,17.355570316314697,3.5723692774772644,4.098498344421387,-194.999005317688,
120,0.0001,0.001,500,None,cpu,False,True,0.5,MSELoss(),16,1,True,23.533187806606293,3.7062287032604218,4.36835640668869,-9.66585886478424,
121,0.0001,0.001,500,None,cpu,False,True,0.5,MSELoss(),16,2,True,14.3167564868927,3.365594744682312,3.6916926503181458,-18.390715062618256,
122,0.0001,0.001,500,None,cpu,False,True,0.5,MSELoss(),32,1,True,20.59052211046219,3.124425917863846,4.123551845550537,-11.345780909061432,
123,0.0001,0.001,500,None,cpu,False,True,0.5,MSELoss(),32,2,True,15.664182186126709,3.5185882449150085,3.9042025208473206,-25.60222041606903,
124,0.0001,0.001,500,None,cpu,False,True,0.5,MSELoss(),64,1,True,10.080049276351929,2.7854040563106537,3.089054226875305,-12.694399565458298,
125,0.0001,0.001,500,None,cpu,False,True,0.5,MSELoss(),64,2,True,15.978087663650513,3.5023087859153748,3.9091857075691223,-24.109339714050293,
126,0.0001,0.001,500,None,cpu,False,False,0.5,MSELoss(),16,1,True,25.55267024040222,3.9366981983184814,4.729641914367676,-24.00686627626419,
127,0.0001,0.001,500,None,cpu,False,False,0.5,MSELoss(),16,2,True,15.782283782958984,3.46013605594635,3.9181272983551025,-22.91049075126648,
128,0.0001,0.001,500,None,cpu,False,False,0.5,MSELoss(),32,1,True,21.452943205833435,3.217482954263687,4.316493928432465,-5.355179011821747,
129,0.0001,0.001,500,None,cpu,False,False,0.5,MSELoss(),32,2,True,14.479228734970093,3.2784202694892883,3.783587694168091,-43.00837016105652,
130,0.0001,0.001,500,None,cpu,False,False,0.5,MSELoss(),64,1,True,10.477447748184204,2.6850044429302216,3.1999691128730774,-4.895282506942749,
131,0.0001,0.001,500,None,cpu,False,False,0.5,MSELoss(),64,2,True,17.429019689559937,3.578750729560852,4.103529274463654,-158.78738582134247,
132,0.0001,0.001,1500,None,cpu,False,True,0.5,MSELoss(),16,1,True,23.533187806606293,3.7062287032604218,4.36835640668869,-9.66585886478424,
133,0.0001,0.001,1500,None,cpu,False,True,0.5,MSELoss(),16,2,True,14.3167564868927,3.365594744682312,3.6916926503181458,-18.390715062618256,
134,0.0001,0.001,1500,None,cpu,False,True,0.5,MSELoss(),32,1,True,20.59052211046219,3.124425917863846,4.123551845550537,-11.345780909061432,
135,0.0001,0.001,1500,None,cpu,False,True,0.5,MSELoss(),32,2,True,15.664182186126709,3.5185882449150085,3.9042025208473206,-25.60222041606903,
136,0.0001,0.001,1500,None,cpu,False,True,0.5,MSELoss(),64,1,True,10.080049276351929,2.7854040563106537,3.089054226875305,-12.694399565458298,
137,0.0001,0.001,1500,None,cpu,False,True,0.5,MSELoss(),64,2,True,15.978087663650513,3.5023087859153748,3.9091857075691223,-24.109339714050293,
138,0.0001,0.001,1500,None,cpu,False,False,0.5,MSELoss(),16,1,True,25.202385902404785,3.920964479446411,4.709572017192841,-24.37427943944931,
139,0.0001,0.001,1500,None,cpu,False,False,0.5,MSELoss(),16,2,True,15.953179359436035,3.4701693058013916,3.949117124080658,-24.84090006351471,
140,0.0001,0.001,1500,None,cpu,False,False,0.5,MSELoss(),32,1,True,21.621562719345093,3.2373792231082916,4.33589643239975,-5.531374216079712,
141,0.0001,0.001,1500,None,cpu,False,False,0.5,MSELoss(),32,2,True,14.51179814338684,3.281421720981598,3.7862601280212402,-43.98269325494766,
142,0.0001,0.001,1500,None,cpu,False,False,0.5,MSELoss(),64,1,True,10.519955515861511,2.686630517244339,3.2082409858703613,-4.934488773345947,
143,0.0001,0.001,1500,None,cpu,False,False,0.5,MSELoss(),64,2,True,17.49374008178711,3.586188495159149,4.110738754272461,-201.2193739414215,
144,0.001,1e-05,500,None,cpu,False,True,0.5,MSELoss(),16,1,True,24.39723026752472,3.8110901713371277,4.516150414943695,-9.87924337387085,
145,0.001,1e-05,500,None,cpu,False,True,0.5,MSELoss(),16,2,True,15.521673679351807,3.2958818674087524,3.9309202432632446,-19.087560653686523,
146,0.001,1e-05,500,None,cpu,False,True,0.5,MSELoss(),32,1,True,16.834474086761475,3.2497061491012573,4.032046556472778,-23.17359608411789,
147,0.001,1e-05,500,None,cpu,False,True,0.5,MSELoss(),32,2,True,17.64257049560547,3.5022992491722107,4.0289722084999084,-47.39708739519119,
148,0.001,1e-05,500,None,cpu,False,True,0.5,MSELoss(),64,1,True,10.672644197940826,2.489492744207382,3.1312805712223053,-40.171730279922485,
149,0.001,1e-05,500,None,cpu,False,True,0.5,MSELoss(),64,2,True,17.871716499328613,3.669622778892517,4.102571725845337,-18.139291048049927,
150,0.001,1e-05,500,None,cpu,False,False,0.5,MSELoss(),16,1,True,20.411953449249268,3.528342545032501,4.268494367599487,-7.794925212860107,
151,0.001,1e-05,500,None,cpu,False,False,0.5,MSELoss(),16,2,True,16.117592811584473,3.236086368560791,4.006720662117004,-36.30692183971405,
152,0.001,1e-05,500,None,cpu,False,False,0.5,MSELoss(),32,1,True,17.566118240356445,3.3020963072776794,4.139916718006134,-41.09625345468521,
